title,channel,genre
GOD STYLE  | YO YO HONEY SINGH | Hommie Dilliwala | Full Video,Yo Yo Honey Singh,rap
Boom Shaka (Official Music Video) | KR$NA |  Dhanda Nyoliwala,KRSNA,rap
SHAKALAKA BOOM BOOM OFFICIAL  MV 4K || ADI BAWA || JRM BAWA || HELIUM || NEW SAMBALPURI RAP SONG ||,A.D.I BAWA,rap
PRISON - MEMIIXYZ (Official Music Video) | Emotional Hindi Urdu Rap Song | Sad Rap | One Sided Love,Memiixyz,rap
UP Ka Thumka Lagana Padega ( Pagla Pagli 3 ) Kolkata Rap Tera Bhai ZB New Song Video 2021 |,MR.N3Redn,rap
Moth Mothe Gar Kele | Mothe Mothe Gar Kele Gammat Madhi |  Sambata Rap - PS REMIX | Marathi Dj Song,PS REMIX ,rap
Dard Aur Dava - Joshi G | New Sad Hindi Rap Song 2024 | Official Audio | Latest Hindi Rap Song,Joshi G,rap
Kolkata Rap Song -ZB (official music video) Kolkata Rap song | Kolkata Song | Kolkata Hip-Hop,Official ZB,rap
Pagla Pagli 2 Rap Song - ZB (Official music video),Official ZB,rap
RCR rap song@Rcrrapstar #videosong#rapsong#rcrrapstar,HUSSAIN-PANHWAR,rap
EMIWAY BANTAI X TOKEN - #SADAK 2.0 | PROD BY - PSYIK |OFFICIAL MUSIC VIDEO|,Emiway Bantai,rap
EMIWAY BANTAI  - DUBAI COMPANY | OFFICIAL MUSIC VIDEO,Emiway Bantai,rap
Hey Madhav | Narci | My Words with Madhav | Hindi Rap Song,NARCI,rap
Dhanda Nyoliwala - Russian Bandana (Music Video) | Deepesh Goyal | VYRL Haryanvi,VYRL Haryanvi,rap
DIVINE - 3:59 AM | Prod. by Stunnah Beatz | Official Music Video,DIVINE,rap
Same Beef Song | BOHEMIA | Ft. Sidhu Moose Wala | Byg Byrd | Punjabi Song | Rap Song | Music Video,YRF,rap
🎤 Motivational Rap Song | Never Give Up | Hustle Hard 🎶,Suno.Dil.Se.24,rap
Panther - 3-0 (Official Audio),Panther,rap
Badnam - hindi Rap Mix official Music 🎶,Aru-N Music,rap
KR$NA - Knock Knock | Prod. by Phenom | Official Music Video,KRSNA,rap
SRN TAKAT Official music video 2025(￼ @prodby-chetan),Sadbhavana films Kannada SRN,rap
DEVEL - DEAD LETTER | HINDI RAP SONG,DEVEL,rap
Kalyug ka Manav | Hindi Rap Song By LUCKE,LUCKE,rap
EMIWAY BANTAI X MC R1 - CHHABI KAR | (PROD. BY MEMAX) | OFFICIAL MUSIC VIDEO | CNSTNCY,Emiway Bantai,rap
Bhau A Maza - Mau Patil (Official Music Video) | NEW #MARATHI RAP SONG,MAU PATIL,rap
Dharkari 2 - Dharkari  (Official Music Video) Prod.by Ranjith,DHARKARI,rap
DEVEL - BAIRAAGI | HINDI RAP SONG,DEVEL,rap
JAXK :- AMA | Prod by TONY JAMES | OFFICIAL MUSIC VIDEO,JAXK,rap
Paisa Nahi Toh Kaun | Paisa Hindi Rap 2026| Sad Reality Rap Song | Heart Touching Hindi Rap 2026,Hardik Singh,rap
Rahul Dit-O | That&#39;s OK | The Middle Class Anthem | Official Music Video | 2025,Rahul Dit-O,rap
ICEBOY - MUSIC VIDEO | ASAL KOLAAR | MASS APPEAL | DIR.BY DINESU | PROD.BY SHIV PAUL,Asal Kolaar,rap
MODEL | OFFICAL MUSIC VIDEO | MC BLACK | 2025 | PROD . ENEMY,MC BLACK ,rap
KR$NA - I Guess | Official Music Video,KRSNA,rap
KAFAN - MEMIIXYZ (Official Music Video) | Deep Emotional Rap Song | Dark Hindi Urdu Poetry | Sad Rap,Memiixyz,rap
&#39;MAIN LAGTA KAUN?&#39; - Prathamesh | Prod by. Teja | Official Music Video | Def Jam India,Prathamesh ,rap
Aryan Kelvin - Official Rap Song | New Hip Hop 2026 | Underground Rap,Platinum.Music.,rap
Bonalu Rap Song 2025 || Telangana Style Beat || @M3SAI  Dj Tinku,Dj Tinku,rap
Panther - Non Talha (Official Music Video),Panther,rap
MANIYA l SAIYAA l ft.@akshaybunker1998 l Roshni jee l prod.@anand-07-Music  l MV l 2026,The Maniya,rap
NO LOVE - MEMIIXYZ (Official Music Video) | Emotional Hindi Urdu Rap Song | Deep Poetic Rap Song,Memiixyz,rap
MANIYA - NIKAMMA  || PROD BY HOPELESS RA!N || MAITHILI RAP SONG || 2022,The Maniya,rap
CHARSII - MC POP100 l PROD BY @itsmoreluv OFFICIAL MUSIC VIDEO,MC POP100,rap
KHUDGARZ- hindi Rap Mix official Music by MONÃA ,MONÃA,rap
CHOM RE BHANJA CHOM || JRM BAWA × SIXTY || OFFICIAL VIDEO || SAMBALPURI RAP SONG || 2026,JRM Bawa,rap
करेजा फिल्मी हीरोइन || Bhojpuri Rap Song || Official Videos || Sohan X Tanya || Rajesh Roy ||,Rapper Sohan Official,rap
EMIWAY BANTAI - PRIMO |PROD BY. EMIWAY BANTAI | OFFICIAL MUSIC VIDEO | CNSTNCY,Emiway Bantai,rap
Thamizh - Rare Piece Vanjaram (Music Video)  | Dinesu | Think Indie,Think Music India,rap
Big Boss Kannada Rap Song 🔥 #gilli #bigbosskannada #bbk12 #bigbossgilli,Todays beats,rap
